,Filename,Season,Participant,X offset,X scale,Y offset,Y scale,Segment,Length,NaNs,X_mean,Y_mean,X_std,Y_std,Missing fixations,Mean speed,Median speed,Saccades,Median peak speed,Median saccade distance,Median saccade duration,Median fixation duration,Weibull fixation k,Weibull fixation lambda,Poisson discovery rate,Poisson discovery fit
0,data_Task6_P000_trial_0.txt,Ruj,0,17.116279069767472,0.9923076923076924,-1.2558139534883708,1.0125588697017267,1,60.0,0.14153333333332263,907.3864458396306,673.8123586051286,446.33966688903166,276.37048298875413,0,1329.6456205808454,739.801762776322,151,6883.131876118252,89.18258330509724,0.023,0.2145,1.0721063663933412,0.2687463561406547,0.012546586199844764,0.9980036052837141
0,data_Task6_P000_trial_0.txt,Ruj,0,17.116279069767472,0.9923076923076924,-1.2558139534883708,1.0125588697017267,2,60.0,0.1373333333333231,854.7533770211628,652.7244913730561,419.6923341778275,192.45883250721062,1,1223.0656254757557,620.2088402726931,152,12077.389453088388,132.2843671652287,0.03,0.267,1.3213207556342152,0.31286827094827624,0.006768656148307837,0.998452377556682
0,data_Task6_P000_trial_0.txt,Ruj,0,17.116279069767472,0.9923076923076924,-1.2558139534883708,1.0125588697017267,3,60.0,0.16228333333332035,1071.6945254423274,557.3559583185848,437.75802331112396,214.72155849647606,4,1128.735268090555,631.0237202257975,171,5588.028864713211,55.36571018219371,0.02,0.2165,1.1388688601520884,0.24755401304279248,0.010453301784779299,0.982786661451212
0,data_Task6_P001_trial_0.txt,Ruj,1,94.51162790697674,0.9824828636709824,64.04651162790698,0.9728506787330315,1,60.0,0.03058333333333471,942.3994637337421,549.8903785960753,455.7727377748787,234.79690026496644,0,1464.7460872872089,709.1802852155805,156,13379.55705009,223.8172041138675,0.037,0.306,2.076808573148715,0.32038058003404796,0.008689318359801426,0.9988332196921981
0,data_Task6_P001_trial_0.txt,Ruj,1,94.51162790697674,0.9824828636709824,64.04651162790698,0.9728506787330315,2,60.0,0.03696666666666748,904.7798780710109,551.4128377827036,506.7484701465268,255.30799068365718,0,1364.286892562988,737.200913416044,170,10986.690081831919,150.15957931250423,0.031,0.292,2.0506269564267043,0.29929960566075897,0.008101627546598943,0.992577190249529
0,data_Task6_P001_trial_0.txt,Ruj,1,94.51162790697674,0.9824828636709824,64.04651162790698,0.9728506787330315,3,60.0,0.030466666666668033,936.8356025404399,578.1664774426159,464.40896328941136,236.83487621673842,0,1452.3651769256771,724.9744711030404,176,11989.051513329077,174.24106475120215,0.036,0.295,2.3081370021326864,0.28290211264923504,0.008380541558082048,0.9992481210399076
0,data_Task6_P004_trial_0.txt,Ruj,4,36.465116279069775,1.012558869701727,-12.139534883720929,1.066997518610422,1,60.0,0.019550000000000296,1025.6944417602754,523.4523172016226,282.2703148427633,130.30696997155488,0,1166.6270289057602,730.297591958891,119,11967.25081090381,196.98257035117123,0.032,0.347,1.705715846438251,0.44680399416537553,0.004517702493503753,0.997387294959798
0,data_Task6_P004_trial_0.txt,Ruj,4,36.465116279069775,1.012558869701727,-12.139534883720929,1.066997518610422,2,60.0,0.015266666666666581,963.7834549767476,562.3029702591072,289.00683139659475,94.00789948970927,0,998.0813243311538,731.3675282602001,113,8034.2671569360855,88.93779303116582,0.021,0.367,1.4031915193116968,0.4547300376094299,0.003003464376645914,0.9937171292261034
0,data_Task6_P004_trial_0.txt,Ruj,4,36.465116279069775,1.012558869701727,-12.139534883720929,1.066997518610422,3,60.0,0.011983333333333268,1058.1497433120394,514.2737562359663,239.00521025666717,53.376495613627895,0,972.1558029289359,697.553481938461,92,9067.508560468348,128.70976216218915,0.028,0.376,1.1978281091468952,0.5499061037217218,0.00268443848427586,0.9751080074091885
0,data_Task6_P005_trial_0.txt,Ruj,5,-21.58139534883719,1.0023310023310026,31.395348837209298,0.9923076923076924,1,60.0,0.017600000000000105,906.3937779669664,530.155260508018,473.746497386083,197.6679118176271,0,2038.5621418482765,1179.1650195838924,134,18151.91839211626,272.58727283273305,0.049,0.364,2.1865703275602426,0.39351832342916104,0.009285293729966818,0.9977046634296192
0,data_Task6_P005_trial_0.txt,Ruj,5,-21.58139534883719,1.0023310023310026,31.395348837209298,0.9923076923076924,2,60.0,0.00934999999999995,906.4565595466015,524.7167256540966,466.6781056941688,248.95987504384524,1,1742.0247109820514,1039.8860266342217,129,16868.59387193946,215.26512201727886,0.041,0.3575,1.9810189546263501,0.4089067164575106,0.008017391325283082,0.984717681779882
0,data_Task6_P005_trial_0.txt,Ruj,5,-21.58139534883719,1.0023310023310026,31.395348837209298,0.9923076923076924,3,60.0,0.007033333333333298,1083.2576850343144,589.4819268082954,454.1254077961567,224.76370783832104,0,1651.689559707188,1030.1587451659823,147,14730.178603518458,180.50381184242687,0.038,0.3445,2.4868385568966644,0.34741147261495686,0.00914053933404469,0.993251586272796
0,data_Task6_P006_trial_0.txt,Ruj,6,-21.58139534883719,1.0336538461538465,-55.67441860465115,1.0023310023310024,1,60.0,0.03986666666666716,946.4985462923155,476.79959785273286,330.98745281154925,171.4383054617815,4,1395.842305746235,875.714285359698,113,14760.233419648192,199.54881568132382,0.037,0.3965,1.4245421093391288,0.4737220586787747,0.006166497313362952,0.9941027448129884
0,data_Task6_P006_trial_0.txt,Ruj,6,-21.58139534883719,1.0336538461538465,-55.67441860465115,1.0023310023310024,2,60.0,0.05939999999999834,1005.7756541446543,536.5443455474286,338.1953932124824,212.19147613207855,4,1325.4907393564033,884.2438502894976,95,13360.781702199212,182.22974704305895,0.032,0.3995,1.1843400456659585,0.5149017323307866,0.005863655160002581,0.9893288538014843
0,data_Task6_P006_trial_0.txt,Ruj,6,-21.58139534883719,1.0336538461538465,-55.67441860465115,1.0023310023310024,3,60.0,0.04321666666666679,951.6917157231567,501.8048972934962,340.3041062374548,211.848484634011,3,1315.829972469317,940.8671824779398,85,13858.727006390494,204.7461130880791,0.037,0.392,1.2186180388026218,0.49669257276879175,0.005373163848638727,0.9972388521453347
0,data_Task6_P008_trial_0.txt,Ruj,8,75.16279069767444,0.9634055265123226,9.627906976744184,0.9824828636709824,1,60.0,0.0247000000000008,1021.4444498684343,554.3613548634515,281.87159554800667,155.37769971684213,0,1395.3892592499333,669.3024785481067,144,12691.642256535057,267.3135329167901,0.0415,0.369,2.9793996595403156,0.35862080280207514,0.008476708283427623,0.9953988902183342
0,data_Task6_P008_trial_0.txt,Ruj,8,75.16279069767444,0.9634055265123226,9.627906976744184,0.9824828636709824,2,60.0,0.04859999999999953,993.9600067774811,481.8533168981262,333.8852056903868,171.56202988049847,0,1481.2744316412188,693.9637119917398,159,11880.556682152175,267.31885828215707,0.045,0.336,1.5923117384297865,0.32045950515166266,0.009513943336274021,0.9954906334641554
0,data_Task6_P008_trial_0.txt,Ruj,8,75.16279069767444,0.9634055265123226,9.627906976744184,0.9824828636709824,3,60.0,0.03930000000000056,1093.0155643682456,484.16402041193777,291.9479950044,152.29974837752576,1,1343.4553461676544,691.1060600732878,157,10861.230392825742,211.07374958819304,0.04,0.3435,2.0377297830283734,0.33046079797242534,0.008799883864881352,0.9953020651197154
0,data_Task6_P009_trial_0.txt,Ruj,9,17.116279069767472,1.055646481178396,-1.2558139534883708,1.033653846153846,1,60.0,0.029783333333334633,1033.9889787189622,506.92780136673133,334.36500551094184,167.07646969170224,0,1365.933523625681,932.4340832697695,96,10907.415187026927,192.30960206574335,0.0375,0.407,1.5574996450682224,0.5529043548606405,0.006862906183829391,0.9717165089688817
0,data_Task6_P009_trial_0.txt,Ruj,9,17.116279069767472,1.055646481178396,-1.2558139534883708,1.033653846153846,2,60.0,0.03196666666666803,998.3717784907178,585.0677831888205,350.81580404658047,192.23893553295235,0,1524.869480909086,1053.0712272999413,97,11141.247430960762,187.27559085164063,0.041,0.475,1.351457307804834,0.5755225064228159,0.004960677268336137,0.9841744917173887
0,data_Task6_P009_trial_0.txt,Ruj,9,17.116279069767472,1.055646481178396,-1.2558139534883708,1.033653846153846,3,60.0,0.05294999999999905,941.3793182482152,582.1816049652836,306.3153118895647,137.05595439433867,0,1431.4497537329753,1078.7549951024796,83,9369.98668132625,90.98257071453514,0.029,0.4725,1.2708713480221945,0.6589073798816332,0.002645704613611549,0.9562651641609587
0,data_Task6_P011_trial_0.txt,Ruj,11,75.16279069767444,0.9541420118343196,53.16279069767442,0.9824828636709826,1,60.0,0.030666666666668053,1032.4970644640778,514.1807395047515,90.0687462062618,78.68580138859234,0,846.4409583015249,583.1545881577664,109,7495.640187362315,94.34057087759352,0.023,0.4985,1.5502416894066489,0.5632406678042798,0.0022638243653923316,0.9868502005904269
0,data_Task6_P011_trial_0.txt,Ruj,11,75.16279069767444,0.9541420118343196,53.16279069767442,0.9824828636709826,2,60.0,0.01871666666666688,969.2663696872619,471.525649293703,81.79665351249335,32.050546090725014,0,838.7630522515375,615.5869390195871,100,7024.576077448389,84.36684251418939,0.021,0.5,1.628925518028555,0.5900959238891902,0.0010975524550307244,0.946794203143122
0,data_Task6_P011_trial_0.txt,Ruj,11,75.16279069767444,0.9541420118343196,53.16279069767442,0.9824828636709826,3,60.0,0.016433333333333324,965.7398983703198,546.9755305716891,75.24816327016717,66.83580303932384,0,852.940895977401,641.6776936144015,102,6478.990359748861,81.30848629076345,0.022,0.514,1.649159052043498,0.5904711316705851,0.0012755694199012967,0.9477158517256886
0,data_Task6_P012_trial_0.txt,Ruj,12,36.465116279069775,1.012558869701727,9.627906976744184,1.0125588697017267,1,60.0,0.014866666666666584,1001.3891073881312,516.0496827694487,354.5829200503809,127.97508622985278,0,1733.0431019047073,1294.8447014117144,109,16030.963304252558,175.23731827260724,0.037,0.473,1.6815702403477628,0.5342363565728199,0.005216910145781099,0.9916371220658476
0,data_Task6_P012_trial_0.txt,Ruj,12,36.465116279069775,1.012558869701727,9.627906976744184,1.0125588697017267,2,60.0,0.005883333333333305,932.068470679894,537.1120717179109,461.03607141283095,162.78083142178664,0,1672.7772688052141,1294.5139129645659,106,14174.358919428578,140.62718547155916,0.032,0.479,1.7745844073273243,0.5329632433755094,0.005526811227450382,0.9977333373061004
0,data_Task6_P012_trial_0.txt,Ruj,12,36.465116279069775,1.012558869701727,9.627906976744184,1.0125588697017267,3,60.0,0.005483333333333307,945.4020129266111,488.1762977695567,318.0472547716028,125.25933646221617,0,1665.2655194819708,1324.4427261576834,100,13886.665131707217,118.423169799632,0.032,0.476,1.915078176765315,0.5599273990291033,0.004827316153784001,0.9970287130148344
0,data_Task6_P014_trial_0.txt,Ruj,14,-60.279069767441854,1.0445344129554657,-12.139534883720929,1.0229976209357652,1,60.0,0.1094166666666595,914.4058174580416,530.1120727659292,382.1006088393138,208.21159013795113,13,1552.2305114390851,756.9582522237039,133,13854.958609256017,339.6865551991507,0.042,0.308,1.5218300391296038,0.37444884452754956,0.007432342766594637,0.9839485100785235
0,data_Task6_P014_trial_0.txt,Ruj,14,-60.279069767441854,1.0445344129554657,-12.139534883720929,1.0229976209357652,2,60.0,0.06613333333333093,972.481987765233,501.2746105544764,315.3058341299656,228.38647148674713,4,1335.8077779435587,745.2569603000089,111,12845.199777184316,288.6565997686533,0.041,0.343,1.8743354583826095,0.37430232177271716,0.009384496511157591,0.9937668713683234
0,data_Task6_P014_trial_0.txt,Ruj,14,-60.279069767441854,1.0445344129554657,-12.139534883720929,1.0229976209357652,3,60.0,0.02676666666666767,905.182952424678,578.8719860222676,209.87230876178438,139.23859135420648,2,1004.6004718343105,727.7345307382906,61,11934.622436756057,216.96694971595167,0.039,0.332,1.0140768592368354,0.5246204265830987,0.003923339653383855,0.9058959266863335
0,data_Task6_P016_trial_0.txt,Ruj,16,113.86046511627907,0.945054945054945,64.04651162790698,0.9634055265123226,1,60.0,0.07291666666666352,882.7035815779726,376.4248280269528,296.9903645354825,113.3394251072524,0,1088.6045550948945,574.0947649816177,114,14418.385902444303,185.30954292409663,0.034,0.447,1.8719832910697791,0.4856645172165788,0.00431234956837002,0.984442859441902
0,data_Task6_P016_trial_0.txt,Ruj,16,113.86046511627907,0.945054945054945,64.04651162790698,0.9634055265123226,2,60.0,0.15529999999998778,933.759975733197,377.5529061274123,232.94870139099217,140.42420637665282,0,985.5567105337374,559.6159284332763,105,12151.222194864418,164.7963387273194,0.032,0.512,1.6827203172317813,0.5623687699667146,0.004340848319712553,0.9928280339676848
0,data_Task6_P016_trial_0.txt,Ruj,16,113.86046511627907,0.945054945054945,64.04651162790698,0.9634055265123226,3,60.0,0.15404999999998792,968.9227376638571,341.7663460937037,174.51387676808218,140.49913675170922,2,954.6404689340308,533.4831040682778,109,9963.19593196149,126.46811824308736,0.03,0.495,1.7312532025433636,0.524682593504282,0.003442200413966052,0.9923301826016895
0,data_Task6_P017_trial_0.txt,Ruj,17,94.51162790697674,0.9824828636709824,-55.67441860465115,1.0336538461538465,1,60.0,0.09744999999999415,995.8448190480697,583.5212841127492,408.91241112610163,220.29242998969073,0,1143.551019895032,628.548274012884,87,15928.233178945497,307.43658173300855,0.042,0.4495,1.6794190516295646,0.6231068304481258,0.005472608083716268,0.9490412873167393
0,data_Task6_P017_trial_0.txt,Ruj,17,94.51162790697674,0.9824828636709824,-55.67441860465115,1.0336538461538465,2,60.0,0.07338333333333014,749.8271023297198,556.5632851834841,486.3884737381516,198.52612520001506,4,1208.4170530199929,654.2960967121478,119,13616.121161746856,239.91498669600327,0.037,0.392,1.837663739869153,0.44362623615484287,0.0061910145958760186,0.9891454285878618
0,data_Task6_P017_trial_0.txt,Ruj,17,94.51162790697674,0.9824828636709824,-55.67441860465115,1.0336538461538465,3,60.0,0.08296666666666241,845.4961056358458,493.09422625180713,544.8403166990447,276.17113660455254,0,1202.3140187486572,661.434578999292,110,13858.66862165874,215.10743272744577,0.0335,0.454,1.4560491745922675,0.5154785274965302,0.005591141771665543,0.9862436982470533
0,data_Task6_P019_trial_0.txt,Ruj,19,-2.232558139534888,1.0229976209357654,9.627906976744184,1.055646481178396,1,60.0,0.03413333333333446,985.0341211584333,426.5907280425541,350.3766897307251,122.24689394304944,0,1308.9353813543767,641.3764393768652,139,13543.82649296521,185.6414826289771,0.037,0.3675,2.466357260022553,0.3845465104203525,0.007406835494036729,0.9975621135673369
0,data_Task6_P019_trial_0.txt,Ruj,19,-2.232558139534888,1.0229976209357654,9.627906976744184,1.055646481178396,2,60.0,0.09551666666666103,1052.7459352373787,471.208422874606,285.4623925560846,136.19956003936267,0,1076.4952317988593,626.4947502055884,135,9438.29016327924,105.19414114189433,0.026,0.3575,1.557784354480557,0.39791708005008525,0.005873020970140002,0.9957665496201219
0,data_Task6_P019_trial_0.txt,Ruj,19,-2.232558139534888,1.0229976209357654,9.627906976744184,1.055646481178396,3,59.999,0.1570192836547182,1008.5115954725939,500.9012931946955,360.4973041211829,98.12242150782865,0,1092.9643555768268,677.816560316791,132,9114.859671875716,95.61938784620166,0.0245,0.372,1.6231731221836014,0.41765335095646544,0.006681542685453825,0.996389148031186
0,data_Task6_P020_trial_0.txt,Ruj,20,55.81395348837211,1.0023310023310024,9.627906976744184,0.9923076923076922,1,60.0,0.020766666666667082,986.9778162800086,401.07493808604846,291.36262626913265,160.06591609869227,0,1346.925746641039,829.8983360784484,129,14142.518769947003,160.48555720903167,0.03,0.3875,1.5317492215887287,0.4447697371332064,0.006087152100623565,0.9926404689184746
0,data_Task6_P020_trial_0.txt,Ruj,20,55.81395348837211,1.0023310023310024,9.627906976744184,0.9923076923076922,2,60.0,0.0192333333333336,917.2577540903851,411.0329991450958,203.97505289682275,174.06596588893618,0,1257.0259938692814,848.5308977787513,122,13806.892369580431,136.95198085414125,0.032,0.416,1.6196232997791127,0.46499120872711613,0.004255613369071633,0.9959131230714211
0,data_Task6_P020_trial_0.txt,Ruj,20,55.81395348837211,1.0023310023310024,9.627906976744184,0.9923076923076922,3,60.0,0.012833333333333263,894.5048591736926,499.03985873842515,312.8247838774217,140.73909394655715,0,1315.1205978529183,841.7193603296222,135,12727.466444142447,125.73708906626183,0.03,0.378,1.7566355631364647,0.40445840820072776,0.005793368291128375,0.9989210077609247
0,data_Task6_P021_trial_0.txt,Ruj,21,75.16279069767444,0.9923076923076924,-55.67441860465115,0.9634055265123226,1,60.0,0.027533333333334412,832.3914592814467,478.92578204896967,380.93066376495517,223.5258578243497,0,1806.9675556107788,1306.1346159582351,95,14854.827348212575,247.49534637571054,0.042,0.4515,1.8346518231112756,0.5756383127941719,0.005157817668208999,0.9974933220718223
0,data_Task6_P021_trial_0.txt,Ruj,21,75.16279069767444,0.9923076923076924,-55.67441860465115,0.9634055265123226,2,60.0,0.02960000000000128,839.6941560974063,565.1380526389186,476.74428949140076,245.20870663030522,0,1844.5422053215098,1349.9908349229358,107,13696.492956310283,196.00203137626096,0.037,0.4145,1.9454276765418979,0.5146755874352492,0.0058420296651866864,0.9974155728704163
0,data_Task6_P021_trial_0.txt,Ruj,21,75.16279069767444,0.9923076923076924,-55.67441860465115,0.9634055265123226,3,60.0,0.06136666666666479,885.8084947017898,452.53226774153313,473.934391019588,278.9237762459912,3,1943.6096465202668,1303.5811885996268,110,14921.64815314263,233.9445406216868,0.0465,0.451,1.682191201541268,0.48051070097479787,0.007815628634959233,0.9988031319897278
0,data_Task6_P024_trial_0.txt,Ruj,24,171.90697674418607,0.8200890019071838,151.11627906976744,0.945054945054945,1,60.0,0.0250166666666675,823.0932444039476,503.9911464627272,326.1524885667508,154.7106480393318,0,1843.2363167853669,1454.475060003181,99,12559.636026833912,141.78194073885535,0.036,0.381,1.3600512235737308,0.5285508147140948,0.004746949355469165,0.992083512156324
0,data_Task6_P024_trial_0.txt,Ruj,24,171.90697674418607,0.8200890019071838,151.11627906976744,0.945054945054945,2,60.0,0.005933333333333304,843.3282942236248,474.45236756403,411.3122868693661,237.28144721710285,0,1659.9090586581362,1358.5595519946012,70,12820.669698743412,158.39955754922306,0.0375,0.542,1.3139400560171643,0.8221965127541768,0.0037750240568882316,0.9874001050516175
0,data_Task6_P024_trial_0.txt,Ruj,24,171.90697674418607,0.8200890019071838,151.11627906976744,0.945054945054945,3,60.0,0.01323333333333326,834.0320990623985,631.2372653425012,337.20792422557207,184.73627105205205,0,1449.9804638735377,1065.0163537632998,98,11264.190825553946,132.8727376726077,0.033,0.466,1.6576005834558198,0.5651262364540708,0.005241565707871941,0.984803075720106
0,data_Task6_P028_trial_0.txt,Ruj,28,-2.232558139534888,1.0229976209357654,-12.139534883720929,0.9634055265123226,1,60.0,0.1312666666666571,894.6302653904487,570.5984461766906,414.37598847135615,210.62954459876934,1,1821.5073540389358,1191.228149335193,126,13978.763030464515,292.6157954645141,0.042,0.386,1.7118660725034378,0.4254065481539308,0.0066788622755584075,0.9927630070565173
0,data_Task6_P028_trial_0.txt,Ruj,28,-2.232558139534888,1.0229976209357654,-12.139534883720929,0.9634055265123226,2,60.0,0.08688333333332865,856.9310756745535,544.5418774559519,340.58196479339745,188.24944695576704,0,1517.4815583118357,1098.8064406389406,96,12776.330899724995,220.6412857777076,0.0415,0.391,1.383918222103162,0.5235982246516013,0.00574849929412374,0.9474581111996526
0,data_Task6_P028_trial_0.txt,Ruj,28,-2.232558139534888,1.0229976209357654,-12.139534883720929,0.9634055265123226,3,60.0,0.11749999999999194,851.112029483323,587.5619213103516,296.143537721955,175.71576381223682,0,1720.0913959583972,1262.9013811387563,104,8298.522071598303,134.27929419597615,0.029,0.342,1.073180687285413,0.4984786966135509,0.005382588659877894,0.9396370555720406
0,data_Task6_P031_trial_0.txt,Ruj,31,-79.62790697674416,1.1025641025641029,-99.2093023255814,1.066997518610422,1,60.0,0.035633333333334294,922.0766674288697,431.68497442318693,339.5743433212911,254.77894031327952,3,984.2884421187392,536.2607957863347,69,13002.916387030571,434.2016614132721,0.047,0.4745,1.433275394807904,0.6604883286506107,0.005383979076572253,0.960568236712858
0,data_Task6_P031_trial_0.txt,Ruj,31,-79.62790697674416,1.1025641025641029,-99.2093023255814,1.066997518610422,2,60.0,0.01551666666666658,913.3579347230163,419.09713689340145,289.33532928477433,192.63028987305827,0,930.7472057760838,571.9454405584964,76,11824.720490771057,220.05884372124444,0.037,0.581,1.5107457861633742,0.7468483066060471,0.004357119971273158,0.9790539090505758
0,data_Task6_P031_trial_0.txt,Ruj,31,-79.62790697674416,1.1025641025641029,-99.2093023255814,1.066997518610422,3,60.0,0.013149999999999927,933.6457125300265,408.3072129688196,413.7971277058012,151.50678676798282,0,853.2138218913658,565.3537468020241,52,12082.76764839362,291.6211909477855,0.0375,0.446,0.9827366278983819,0.8710339558556871,0.0038840551454729214,0.9452027371143122
0,data_Task6_P032_trial_0.txt,Ruj,32,55.81395348837211,0.9824828636709824,-55.67441860465115,0.9188034188034188,1,60.0,0.10293333333332688,774.6027077590281,296.2150695571892,584.3619989923634,310.12239544463046,2,1362.305668582764,576.5200152630532,145,13654.678253055741,192.5737041669184,0.034,0.265,1.481621759210153,0.3232545165421838,0.0069135046353819875,0.9886862936983718
0,data_Task6_P032_trial_0.txt,Ruj,32,55.81395348837211,0.9824828636709824,-55.67441860465115,0.9188034188034188,2,60.0,0.02371666666666737,946.5044819831535,495.31378469773665,424.7277617013583,186.72134978289625,0,917.0323040440588,547.6133724576671,102,10160.115732982182,122.75868717302708,0.0245,0.372,1.308281086237984,0.5037768300409046,0.0040463310536364445,0.9512817493110632
0,data_Task6_P032_trial_0.txt,Ruj,32,55.81395348837211,0.9824828636709824,-55.67441860465115,0.9188034188034188,3,60.0,0.06266666666666465,1267.8801974510286,381.07235048814,331.3623026484624,168.19301526187553,0,878.8306489829624,547.2570302504282,81,10667.03189520969,118.56506918021701,0.027,0.3895,1.0898849226831882,0.5552307536272708,0.012647619546698559,0.993565364210381
